deleting:  19	|   23  29  91  32  35 127  92  93 730 213 
deleting:  23	|   29  32  91  93  35 127  92 361 730 213 
deleting:  29	|   32  35  91  93 213 127  92 361 730 538 
deleting:  32	|   35  93  91 361 213 127  92 538 730 538 
deleting:  35	|   91  93  92 361 213 127 420 538 730 538 
deleting:  91	|   92  93 127 361 213 818 420 538 730 538 
deleting:  92	|   93 213 127 361 361 818 420 538 730 538 
deleting:  93	|  127 213 420 361 361 818 637 538 730 538 
deleting: 127	|  213 361 420 361 538 818 637 538 730 935 
deleting: 213	|  361 361 420 538 538 818 637 834 730 935 
deleting: 361	|  361 538 420 538 825 818 637 834 730 935 
deleting: 361	|  420 538 637 538 825 818 945 834 730 935 
deleting: 420	|  538 538 637 730 825 818 945 834 935 
deleting: 538	|  538 730 637 834 825 818 945 935 
deleting: 538	|  637 730 818 834 825 935 945 
deleting: 637	|  730 825 818 834 945 935 
deleting: 730	|  818 825 935 834 945 
deleting: 818	|  825 834 935 945 
deleting: 825	|  834 945 935 
deleting: 834	|  935 945 
deleting: 935	|  945 
deleting: 945	|  

